id,product_sync_code,product_group,product_code,sku,msku,active,minimum_price,link_tiki,link_lazada,link_shopee,link_sendo
180,Orico HCU-10 (W),Orico,ORICO-HCU-10-W,4180537134877,1352675556610,0,117000,https://tiki.vn/cap-sac-type-c-2-0-orico-hcu-10-1m-hang-chinh-hang-p683902.html,,,
181,Orico PUG-C6-50,Orico,ORICO-PUG-C6-50,2117018921000,8960640010413,1,55000,https://tiki.vn/day-cap-mang-orico-pug-c6-50-cat6-5m-hang-chinh-hang-p1822397.html,,,
182,Orico PUG-C6-100,Orico,ORICO-PUG-C6-100,8613952753638,4484558117612,1,92000,https://tiki.vn/day-cap-mang-orico-pug-c6-100-cat6-10m-hang-phan-phoi-chinh-thuc-p1822419.html,,,
183,Orico ECU-10 (B),Orico,ORICO-ECU-10,4880544223242,1357576848765,0,45000,https://tiki.vn/cap-sac-type-c-2-0-orico-ecu-10-1m-hang-chinh-hang-p683758.html,,,
184,Orico PUG-C6-150,Orico,ORICO-PUG-C6-150,3508889272084,2661125360165,1,116000,https://tiki.vn/day-cap-mang-orico-pug-c6-150-cat6-15m-hang-chinh-hang-p1822435.html,,,
185,Orico PUG-C6-200,Orico,ORICO-PUG-C6-200,6241285939126,6148630299419,1,149000,https://tiki.vn/day-cap-mang-orico-pug-c6-200-cat6-20m-hang-phan-phoi-chinh-thuc-p1822445.html,,,
186,Orico PUG-C6-300,Orico,,1329836875521,7262003658432,1,201000,https://tiki.vn/cap-mang-cat-6-dai-30m-orico-pug-c6-300-p10411522.html,,,
187,Orico ADC-10-V2 (B),Orico,ORICO-ADC-10-V2-B,3139935137226,1359865155059,1,53000,https://tiki.vn/cap-sac-micro-usb-orico-adc-10-v2-1m-hang-chinh-hang-p683575.html,,,
188,Orico ADC-10-V2 (W),Orico,ORICO-ADC-10-V2-W,5398221588083,1358444543072,1,53000,https://tiki.vn/cap-sac-micro-usb-orico-adc-10-v2-1m-hang-chinh-hang-p683575.html,,,
189,Orico IDC-10,Orico,ORICO-IDC-10,2598135338368,1356788012902,0,248000,https://tiki.vn/cap-sac-lightning-orico-idc-10-1m-hang-chinh-hang-p683490.html,,,
190,Orico LTF-10 (Go),Orico,ORICOLTF-10,8720279668481,1353981952837,0,80000,https://tiki.vn/cap-sac-lightning-orico-ltf-10-1m-hang-chinh-hang-p683416.html,,,
191,Orico PUG-C7-50,Orico,ORICO-PUG-C7-50,7373491839781,6313918945856,0,124000,https://tiki.vn/day-cap-mang-orico-cat7-pug-c7-50-bk-den-5m-hang-chinh-hang-p4027551.html,,,
192,Orico LTF-10 (S),Orico,ORICO-LTF-10-GO,4227750537563,1358459999031,1,80000,https://tiki.vn/cap-sac-lightning-orico-ltf-10-1m-hang-chinh-hang-p683416.html,,,
193,Orico PUG-C7-80,Orico,ORICO-PUG-C7-80,4533712530245,9998346875530,1,176000,https://tiki.vn/day-cap-mang-orico-cat7-pug-c7-80-bk-den-8m-hang-chinh-hang-p4027553.html,,,
194,Orico PUG-C7-100,Orico,ORICO-PUG-C7-100,3951980331271,4925525596028,0,217000,https://tiki.vn/day-cap-mang-orico-cat7-pug-c7-100-bk-den-10m-hang-chinh-hang-p4027555.html,,,
195,Orico PUG-C7-150,Orico,ORICO-PUG-C7-150,4411380286308,1009245102646,1,296000,https://tiki.vn/day-cap-mang-orico-cat7-pug-c7-150-bk-den-15m-hang-chinh-hang-p4027557.html,,,
196,Orico PUG-C7-200,Orico,ORICO-PUG-C7-200,1231241690678,4749877416731,1,389000,https://tiki.vn/day-cap-mang-orico-cat7-pug-c7-200-bk-den-20m-hang-chinh-hang-p4027559.html,,,
197,Orico HM14-80-BK,Orico,ORICO-HM14-80-BK,2469056839213,8870678723097,1,236000,https://tiki.vn/cap-noi-dai-hdmi-ver1-4-orico-hm14-80-bk-8m-hang-chinh-hang-p1543835.html,,,
